"BD_mix_Kume_2023_Ketone bodies A double-edged sword for mammalian life span","death","age (years)"
"Control",1,1.8381284276577432
"Control",1,1.9176809611559393
"Control",1,1.9954518284754859
"Control",1,2.146372096046544
"Control",1,2.2102583247088736
"Control",1,2.246743331031228
"Control",1,2.2552285260911407
"Control",1,2.2637137211510527
"Control",1,2.2816222597110607
"Control",1,2.350146519811742
"Control",1,2.44122038779538
"Control",1,2.5823973768701944
"Control",1,2.667118403105951
"Control",1,2.7367024295119986
"Control",1,2.786894910605912
"Control",1,2.82191769274926
"Control",1,2.903859807580852
"Control",1,2.9325766675054656
"Control",1,2.9912828892116954
"BD",1,1.2392994209694412
"BD",1,1.2576522924130662
"BD",1,1.5913215555866917
"BD",1,1.6746958621674513
"BD",1,1.8556292054794497
"BD",1,2.108448518255975
"BD",1,2.1155094053546994
"BD",1,2.131526157997734
"BD",1,2.157948045966731
"BD",1,2.189447652216183
"BD",1,2.2490467489014345
"BD",1,2.3443474464395906
"BD",1,2.438627282565236
"BD",1,2.458370917583076
"BD",1,2.486778533965578
"BD",1,2.532425780574817
"BD",1,2.5491534832023204
"BD",1,2.6603714676714847
"BD",1,2.68709748246651
