"KD_m_Verdin_2017_Ketogenic Diet Reduces Midlife Mortality and Improves Memory in Aging Mice","death","age (years)"
"Control",1,1.0989558984391832
"Control",1,1.170120470803526
"Control",1,1.230713856716423
"Control",1,1.2778758236939545
"Control",1,1.4553569121713636
"Control",1,1.6002016643501125
"Control",1,1.6652993624242085
"Control",1,1.6901966276014062
"Control",1,1.7191971614099042
"Control",1,1.8115527263491076
"Control",1,1.916951036966654
"Control",1,1.9698143272783601
"Control",1,2.0273520130458484
"Control",1,2.0795678285748433
"Control",1,2.1264163058955345
"Control",1,2.164399662520363
"Control",1,2.17188082774887
"Control",1,2.1793619929773773
"Control",1,2.1958106207780967
"Control",1,2.235189433001284
"Control",1,2.2860911722206723
"Control",1,2.3055569729202285
"Control",1,2.32274471911083
"Control",1,2.339670983188653
"Control",1,2.3551390180160316
"Control",1,2.3706070528434093
"Control",1,2.3857018154883454
"Control",1,2.3983921141761
"Control",1,2.411082412863855
"Control",1,2.4237727115516097
"Control",1,2.4535896353279556
"Control",1,2.4881566522180627
"Control",1,2.529954588889231
"Control",1,2.556478748688196
"Control",1,2.579114762775711
"Control",1,2.6514055997854213
"Control",1,2.689478669911382
"Control",1,2.712461820316479
"Control",1,2.7256249896189333
"Control",1,2.738788158921387
"Control",1,2.747281925834133
"Control",1,2.755740597192214
"Control",1,2.7622868974501875
"Control",1,2.7658379005245735
"Control",1,2.769408607578203
"Control",1,2.7730440611036578
"Control",1,2.7766795146291114
"Control",1,2.798312144208015
"Control",1,2.8451943663066426
"Control",1,2.853478789251365
"Control",1,2.861763212196087
"Control",1,2.877292022027401
"Control",1,2.8949951368873434
"Control",1,2.909575683998284
"Control",1,2.922248322243592
"Control",1,2.932610187083569
"Control",1,2.9421580049725087
"Control",1,2.9533446577811993
"Control",1,2.9705039889289324
"Control",1,2.9876633200766647
"KD",1,1.6841946364180993
"KD",1,1.74390278172992
"KD",1,1.7728024857501568
"KD",1,1.803102020472531
"KD",1,1.905244844445165
"KD",1,2.0094655164162902
"KD",1,2.0407970192873286
"KD",1,2.0760618407224736
"KD",1,2.109692367126116
"KD",1,2.1288003485639955
"KD",1,2.1559209556568875
"KD",1,2.20227606412381
"KD",1,2.2202538071945717
"KD",1,2.224207546185868
"KD",1,2.2280942032404845
"KD",1,2.234786494447715
"KD",1,2.255329730418346
"KD",1,2.267574055134624
"KD",1,2.2771635125400542
"KD",1,2.285407768229757
"KD",1,2.2933491788404607
"KD",1,2.3012905894511637
"KD",1,2.3105480771495563
"KD",1,2.320349667389503
"KD",1,2.32809746993797
"KD",1,2.332444112790188
"KD",1,2.340897289384596
"KD",1,2.3541089317882022
"KD",1,2.3890980379714404
"KD",1,2.475091616663664
"KD",1,2.5224861822771487
"KD",1,2.532704415907586
"KD",1,2.5553535498459663
"KD",1,2.6379785582326694
"KD",1,2.9310029037091723
"KD",0,2.9310029037091723
